identity_line_item_id,billing_period,line_item_usage_account_id,bill_payer_account_id,line_item_product_code,line_item_usage_type,line_item_operation,line_item_availability_zone,line_item_resource_id,line_item_usage_amount,line_item_currency_code,line_item_unblended_rate,line_item_unblended_cost,line_item_blended_rate,line_item_blended_cost,line_item_usage_start_date,line_item_usage_end_date,bill_billing_period_start_date,bill_billing_period_end_date
i-1234567890abcdef0,20240101-20240201,121490076910,121490076910,AmazonEC2,BoxUsage:t2.micro,RunInstances,us-east-1a,i-1234567890abcdef0,730.0,Hrs,0.0116,8.47,0.0116,8.47,2024-01-01T00:00:00Z,2024-01-02T00:00:00Z,2024-01-01T00:00:00Z,2024-02-01T00:00:00Z
db-1234567890abcdef0,20240101-20240201,121490076910,121490076910,AmazonRDS,InstanceUsage:db.t3.micro,CreateDBInstance,us-east-1a,my-database,730.0,Hrs,0.017,12.41,0.017,12.41,2024-01-01T00:00:00Z,2024-01-02T00:00:00Z,2024-01-01T00:00:00Z,2024-02-01T00:00:00Z
s3-1234567890abcdef0,20240101-20240201,121490076910,121490076910,AmazonS3,Storage,StandardStorage,us-east-1,my-bucket,100.0,GB,0.023,2.30,0.023,2.30,2024-01-01T00:00:00Z,2024-01-02T00:00:00Z,2024-01-01T00:00:00Z,2024-02-01T00:00:00Z
i-2345678901bcdef01,20240101-20240201,234567890123,121490076910,AmazonEC2,BoxUsage:t3.small,RunInstances,us-east-1b,i-2345678901bcdef01,730.0,Hrs,0.0208,15.18,0.0208,15.18,2024-01-01T00:00:00Z,2024-01-02T00:00:00Z,2024-01-01T00:00:00Z,2024-02-01T00:00:00Z
db-2345678901bcdef01,20240101-20240201,234567890123,121490076910,AmazonRDS,InstanceUsage:db.t3.small,CreateDBInstance,us-east-1b,prod-database,730.0,Hrs,0.029,21.17,0.029,21.17,2024-01-01T00:00:00Z,2024-01-02T00:00:00Z,2024-01-01T00:00:00Z,2024-02-01T00:00:00Z
s3-2345678901bcdef01,20240101-20240201,234567890123,121490076910,AmazonS3,Storage,StandardStorage,us-east-1,prod-bucket,250.0,GB,0.023,5.75,0.023,5.75,2024-01-01T00:00:00Z,2024-01-02T00:00:00Z,2024-01-01T00:00:00Z,2024-02-01T00:00:00Z
i-3456789012cdef012,20240101-20240201,345678901234,121490076910,AmazonEC2,BoxUsage:t3.medium,RunInstances,us-west-2a,i-3456789012cdef012,730.0,Hrs,0.0416,30.37,0.0416,30.37,2024-01-01T00:00:00Z,2024-01-02T00:00:00Z,2024-01-01T00:00:00Z,2024-02-01T00:00:00Z
db-3456789012cdef012,20240101-20240201,345678901234,121490076910,AmazonRDS,InstanceUsage:db.t3.medium,CreateDBInstance,us-west-2a,staging-db,730.0,Hrs,0.058,42.34,0.058,42.34,2024-01-01T00:00:00Z,2024-01-02T00:00:00Z,2024-01-01T00:00:00Z,2024-02-01T00:00:00Z
s3-3456789012cdef012,20240101-20240201,345678901234,121490076910,AmazonS3,Storage,IntelligentTieringAAStorage,us-west-2,staging-bucket,500.0,GB,0.023,11.50,0.023,11.50,2024-01-01T00:00:00Z,2024-01-02T00:00:00Z,2024-01-01T00:00:00Z,2024-02-01T00:00:00Z
i-4567890123def0123,20240101-20240201,456789012345,121490076910,AmazonEC2,BoxUsage:m5.large,RunInstances,eu-west-1a,i-4567890123def0123,730.0,Hrs,0.096,70.08,0.096,70.08,2024-01-01T00:00:00Z,2024-01-02T00:00:00Z,2024-01-01T00:00:00Z,2024-02-01T00:00:00Z
